SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,100.4805,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,100.1729,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,99.74115,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,99.37975,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,99.23483,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,99.23242,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CAN,Canada,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,99.28053,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,100.5775,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,100.7497,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,100.7249,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,100.5741,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,100.4326,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,100.4163,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,100.4966,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,100.5012,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,100.4099,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,100.2556,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,100.0436,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,99.96849,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,100.0309,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,100.1127,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,100.1182,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,100.0333,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,99.92,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,99.81341,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,99.69395,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,99.53136,,
