COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
DEU,Germany,1366.9,47010.04711,1742284.7,3.65492E+12,0,0,232.1080539,0,2014,6.984214306,10.68190861,0.937558949,71.22000122,0.898683429,0.083833963,0.473952919,0.785408497,0.187844872,0.601368845,1.180758357,1.782412052,1.664546013,0.238329738,,0.306222222,0.454417616,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1414,53260.74406,107111,3.35436E+11,28.4,0,134.4004525,0,2014,7.507559299,10.71568489,0.956344306,71.27999878,0.941572249,0.113418654,0.237218335,0.832482934,0.232612774,0.457836896,1.238178492,1.962424636,1.669512272,0.222377494,0.284,0.267,0.469388217,,,,,,,
ESP,Spain,1694.6,39397.76735,796201.3,1.37102E+12,36.1,98.09371948,92.92273645,0,2014,6.456477642,10.34802628,0.947864413,73.37999725,0.738472342,-0.031811371,0.853887916,0.716265917,0.335460007,0.210619807,0.6184237,0.873171568,1.761917591,0.272891462,0.361,0.345384615,0.423291177,,,0.292382956,0.286672652,0.32690984,0.198379636,0.190778956
EST,Estonia,1795,22570.84161,37568.1,22942757718,34.6,0,30.24028065,0,2014,5.55598259,10.20779419,0.917101741,67.73999786,0.773327112,-0.15770036,0.652447462,0.680430651,0.203439116,0.414985895,0.97528398,1.342396259,1.858400702,0.334486425,0.346,0.332461538,0.363078892,,,,0.21057786,,,0.389869928
FIN,Finland,1562,43229.09351,110024.9,2.47075E+11,26.8,0,17.97200303,0,2014,7.384571075,10.57176685,0.952016532,71.36000061,0.933043957,-0.005278334,0.265479892,0.784109592,0.198813885,0.468558848,1.412057161,2.037089586,1.608321071,0.217794791,0.268,0.275615385,0.429592639,,0.571719229,,0.479229987,,0.580378592,
FRA,France,1518,43308.84587,1093675,2.75068E+12,32.3,0,121.1126749,0,2014,6.466867924,10.53272915,0.877504528,73,0.803474188,-0.122516043,0.655637443,0.811054468,0.215893835,0.263801724,0.759364009,1.317823052,1.853521585,0.286618143,0.323,0.320923077,0.432021111,,,,,,0.187642321,
GBR,United Kingdom,1547,43782.31312,1145610.4,2.65716E+12,34,0,267.0737817,0,2014,6.758147717,10.55194569,0.910247326,71.62000275,0.85703969,0.350521028,0.484118432,0.793992698,0.251140326,0.422672093,0.845568657,1.770141125,1.87745738,0.277806491,0.34,0.341083333,0.48483628,,,,0.304498315,,0.300558358,
GRC,Greece,1933,26803.24237,232879.6,2.45795E+11,35.8,0,84.50281614,0,2014,4.75623703,10.08920479,0.832333207,71.73999786,0.369156331,-0.289120018,0.930213809,0.694675922,0.385433316,0.188292742,0.23915565,0.242033929,2.412558317,0.507240951,0.358,0.346384615,0.314226389,,,,,,,
HUN,Hungary,1751.7,20707.45771,259976.3,1.39309E+11,30.9,99.09999847,108.985618,0,2014,5.18056345,10.09251308,0.844735265,66.23999786,0.494474709,-0.156426847,0.855361402,0.650690138,0.237619638,0.308385164,0.611585557,0.48798129,1.882297993,0.36333847,0.309,0.297916667,0.320106834,,0.331434399,,0.22461538,,0.288842171,
IRL,Ireland,1731,46314.70793,62700.5,2.54491E+11,31.9,0,67.61126433,0,2014,7.018379211,10.7974987,0.967744648,71.90000153,0.921629548,0.259822041,0.406036258,0.784334838,0.228723049,0.459882379,1.185246229,1.686500072,1.672049999,0.238238767,0.319,0.326153846,0.495984018,,,,,,,
